,batch,file,Sam's numbers,Anna's numbers,quality key,consensus
460,45,lst_18:53:02_2018_09_26.tif,0,,,
461,46,lst_18:55:34_2019_05_25.tif,0,,,
462,46,lst_18:56:19_2021_08_08.tif,1,,,
463,46,lst_18:56:26_2019_05_25.tif,0,,,
464,46,lst_18:57:11_2021_08_08.tif,1,,,
465,46,lst_18:59:55_2020_07_22.tif,1,,,
466,46,lst_19:00:47_2020_07_22.tif,0,,,
467,46,lst_19:02:47_2019_08_10.tif,0,,,
468,46,lst_19:02:50_2022_04_06.tif,0,,,
469,46,lst_19:14:32_2020_08_07.tif,1,,,
470,46,lst_19:15:39_2021_05_21.tif,0,,,
471,47,lst_19:16:31_2021_05_21.tif,0,,,
472,47,lst_19:17:09_2019_07_23.tif,1,,,
473,47,lst_19:19:00_2019_09_21.tif,0,,,
474,47,lst_19:20:35_2021_07_20.tif,1,,,
475,47,lst_19:21:27_2021_07_20.tif,1,,,
476,47,lst_19:25:02_2020_05_21.tif,0,,,
477,47,lst_19:25:54_2020_05_21.tif,0,,,
478,47,lst_19:30:01_2019_06_09.tif,0,,,
479,47,lst_19:30:53_2019_06_09.tif,0,,,
480,47,lst_19:33:57_2021_04_07.tif,0,,,
481,48,lst_19:34:49_2021_04_07.tif,1,,,
482,48,lst_19:35:23_2021_06_06.tif,2,2,,2
483,48,lst_19:35:29_2020_09_19.tif,0,,,
484,48,lst_19:35:56_2021_09_18.tif,0,,,
485,48,lst_19:36:21_2020_09_19.tif,0,,,
486,48,lst_19:36:48_2021_09_18.tif,0,,,
487,48,lst_19:41:43_2021_08_05.tif,1,,,
488,48,lst_19:47:02_2020_07_19.tif,0,,,
489,48,lst_19:51:56_2018_09_23.tif,0,,,
490,48,lst_19:53:17_2020_04_07.tif,0,,,
